DATE,MKT-RF,SMB,HML,UMD,BAB,RMW,CMA
31-07-97,0.0731,-0.0274,0.0013,0.037,-0.0254,0.0018,-0.0256
31-08-97,-0.0409,0.075,0.0113,-0.0257,0.0053,-0.0102,-0.0017
30-09-97,0.0534,0.0248,0.0024,0.0146,-0.0232,-0.0158,-0.0093
31-10-97,-0.0381,-0.0056,0.0233,-0.0053,0.0213,0.0075,0.0201
30-11-97,0.0299,-0.0501,0.0122,0.0038,0.0125,0.0308,0.0173
31-12-97,0.0136,-0.0209,0.0374,0.0391,0.0068,0.0064,0.0195
31-01-98,0.0014,-0.0128,-0.0168,0.0005,-0.009,0.0091,-0.0062
28-02-98,0.0704,0.0005,-0.0093,-0.0119,-0.0254,-0.0037,-0.0258
31-03-98,0.0476,-0.0073,0.0138,0.0213,0.0291,-0.0055,-0.0023
30-04-98,0.0074,0.0001,0.0103,0.0076,-0.0186,-0.0168,-0.0036
31-05-98,-0.0305,-0.03,0.0341,0.0191,0.038,0.0103,0.0247
30-06-98,0.0321,-0.0361,-0.0203,0.0726,-0.0142,-0.0026,-0.0303
31-07-98,-0.0242,-0.052,-0.0183,0.0379,-0.0188,0.0164,0.0076
31-08-98,-0.1605,-0.0497,0.0357,0.019,0.1149,0.0335,0.0578
30-09-98,0.0619,-0.0089,-0.0351,-0.0065,-0.0159,-0.0184,-0.0284
31-10-98,0.0698,-0.0336,-0.0233,-0.0533,-0.035,0.0088,0.0018
30-11-98,0.0607,0.0076,-0.0324,0.0113,-0.0447,-0.0092,-0.0092
31-12-98,0.0615,-0.015,-0.0425,0.0887,-0.0923,-0.0069,-0.0326
31-01-99,0.0347,-0.0082,-0.0446,0.0284,-0.1578,-0.028,-0.0641
28-02-99,-0.0408,-0.0515,0.0195,-0.0014,0.0652,-0.0123,0.0408
31-03-99,0.0348,-0.0437,-0.0261,-0.0121,-0.0761,-0.0405,-0.0107
30-04-99,0.0434,0.0452,0.024,-0.0898,0.0071,-0.0247,0.0084
31-05-99,-0.0246,0.0375,0.0249,-0.0525,0.0067,0.0095,0.0318
30-06-99,0.0477,0.0234,-0.0322,0.0466,-0.0747,0.0093,-0.0291
31-07-99,-0.0349,0.0254,-0.0018,0.017,0.0208,0.0029,0.0327
31-08-99,-0.0137,-0.0167,-0.0193,0.0298,0.0159,-0.0024,0.0072
30-09-99,-0.0277,0.0248,-0.029,0.0638,-0.0319,-0.0096,-0.0099
31-10-99,0.0609,-0.0713,-0.0288,0.0545,-0.0387,-0.0175,-0.0087
